user_id|reader|location|age
1|254035|nigeria|25
2|254037|usa|35
3|254038|usa|30
4|254040|usa|35
5|254041|indonesia|35
6|254043|usa|25
7|254045|usa|15
8|254047|spain|35
9|254051|usa|25
10|254052|denmark|30
11|254053|usa|25
12|254055|usa|25
13|254056|usa|20
14|254058|sweden|25
15|254059|sweden|30
16|254061|indonesia|25
17|254064|usa|45
18|254066|usa|30
19|254067|japan|10
20|254068|usa|10
21|254071|usa|45
22|254072|usa|20
23|254075|usa|65
24|254076|usa|35
25|254077|usa|35
26|254078|korea|25
27|254081|usa|35
28|254084|usa|25
29|254085|chile|30
30|254086|usa|10
31|254087|usa|20
32|254088|usa|40
33|254090|usa|50
34|254091|usa|30
35|254092|usa|10
36|254093|usa|15
37|254094|usa|55
38|254099|usa|15
39|254102|portugal|20
40|254103|usa|30
41|254104|spain|25
42|254107|canada|40
43|254110|usa|40
44|254111|usa|50
45|254112|usa|35
46|254113|usa|40
47|254114|usa|45
48|254115|usa|20
49|254116|usa|20
50|254118|usa|30
51|254119|canada|30
52|254120|usa|50
53|254124|usa|15
54|254125|usa|20
55|254127|usa|35
56|254128|usa|35
57|254130|usa|35
58|254131|usa|35
59|254133|usa|40
60|254134|usa|45
61|254135|usa|30
62|254136|spain|20
63|254137|usa|35
64|254138|usa|25
65|254140|usa|45
66|254142|usa|40
67|254144|usa|20
68|254146|usa|40
69|254147|usa|50
70|254148|australia|40
71|254149|usa|25
72|254151|usa|25
73|254152|usa|30
74|254153|usa|30
75|254154|germany|20
76|254155|germany|30
77|254156|canada|15
78|254157|usa|35
79|254158|usa|25
80|254159|usa|35
81|254160|usa|30
82|254163|usa|20
83|254164|usa|45
84|254166|usa|20
85|254167|usa|45
86|254169|usa|55
87|254170|usa|70
88|254172|usa|30
89|254174|usa|45
90|254175|usa|40
91|254176|usa|30
92|254178|turkey|30
93|254180|usa|35
94|254184|usa|50
95|254185|usa|30
96|254186|usa|35
97|254187|usa|25
98|254188|australia|20
99|254189|usa|40
100|254190|usa|35
101|254191|usa|30
102|254192|usa|30
103|254194|usa|30
104|254195|canada|50
105|254197|usa|25
106|254198|usa|55
107|254201|usa|25
108|254205|usa|50
109|254206|usa|30
110|254210|usa|45
111|254212|china|20
112|254213|usa|45
113|254214|usa|40
114|254215|germany|25
115|254218|usa|50
116|254219|usa|15
117|254225|usa|25
118|254226|usa|50
119|254228|usa|45
120|254230|usa|35
121|254231|usa|45
122|254236|usa|35
123|254237|usa|40
124|254239|usa|50
125|254240|usa|35
126|254241|usa|35
127|254242|usa|25
128|254243|usa|25
129|254244|usa|20
130|254245|malaysia|20
131|254246|usa|30
132|254247|canada|25
133|254248|germany|15
134|254249|australia|30
135|254250|canada|20
136|254251|usa|55
137|254252|australia|40
138|254254|usa|30
139|254255|usa|30
140|254256|usa|30
141|254257|usa|40
142|254258|usa|35
143|254259|usa|30
144|254260|usa|45
145|254262|united kingdom|30
146|254268|usa|45
147|254269|usa|40
148|254270|usa|30
149|254271|canada|55
150|254272|usa|45
151|254276|usa|30
152|254279|usa|35
153|254288|usa|20
154|254290|usa|25
155|254292|usa|35
156|254293|usa|10
157|254294|usa|25
158|254297|usa|40
159|254298|usa|70
160|254299|usa|55
161|254302|usa|35
162|254303|usa|20
163|254304|united kingdom|30
164|254305|usa|25
165|254307|usa|40
166|254308|usa|50
167|254310|canada|50
168|254313|usa|35
169|254314|usa|35
170|254317|usa|55
171|254319|usa|35
172|254322|usa|20
173|254323|usa|25
174|254324|usa|45
175|254327|usa|40
176|254328|usa|35
177|254330|usa|45
178|254332|canada|30
179|254333|usa|45
180|254334|usa|15
181|254336|france|20
182|254337|canada|35
183|254338|usa|30
184|254339|usa|40
185|254343|usa|45
186|254345|usa|60
187|254346|usa|25
188|254347|usa|55
189|254348|usa|40
190|254349|usa|30
191|254351|greece|30
192|254354|usa|40
193|254355|usa|30
194|254358|usa|35
195|254360|usa|30
196|254361|australia|30
197|254362|usa|55
198|254364|usa|30
199|254366|canada|20
200|254368|ireland|20
201|254370|usa|30
202|254371|usa|30
203|254372|france|35
204|254373|france|25
205|254377|usa|50
206|254378|usa|20
207|254379|usa|15
208|254380|usa|40
209|254385|usa|30
210|254386|usa|65
211|254387|usa|15
212|254388|new zealand|35
213|254389|usa|45
214|254391|usa|35
215|254392|usa|30
216|254393|usa|50
217|254394|usa|25
218|254397|usa|30
219|254398|usa|30
220|254399|usa|35
221|254401|germany|25
222|254402|usa|45
223|254403|usa|35
224|254405|usa|30
225|254406|usa|50
226|254409|usa|45
227|254411|usa|35
228|254413|canada|40
229|254414|germany|15
230|254416|new zealand|45
231|254417|usa|35
232|254419|usa|45
233|254420|usa|30
234|254422|usa|30
235|254423|usa|55
236|254426|portugal|25
237|254427|canada|20
238|254429|usa|30
239|254430|australia|15
240|254431|usa|20
241|254432|usa|55
242|254434|usa|25
243|254436|usa|30
244|254437|usa|55
245|254440|germany|25
246|254441|usa|25
247|254442|usa|40
248|254443|usa|40
249|254444|usa|30
250|254446|canada|30
251|254450|usa|30
252|254452|usa|50
253|254454|usa|40
254|254456|usa|35
255|254457|germany|25
256|254458|usa|30
257|254461|usa|20
258|254462|usa|65
259|254464|usa|30
260|254465|usa|20
261|254467|usa|25
262|254468|usa|25
263|254470|usa|15
264|254472|usa|50
265|254474|usa|40
266|254475|italy|30
267|254476|spain|15
268|254479|usa|40
269|254480|usa|45
270|254481|usa|25
271|254483|usa|40
272|254484|united kingdom|25
273|254486|usa|45
274|254490|usa|25
275|254491|canada|30
276|254492|usa|55
277|254494|usa|20
278|254495|canada|40
279|254496|spain|25
280|254497|portugal|30
281|254500|united kingdom|60
282|254502|united kingdom|40
283|254503|usa|20
284|254506|usa|40
285|254508|usa|65
286|254512|usa|35
287|254513|usa|35
288|254516|usa|40
289|254519|usa|50
290|254521|new zealand|75
291|254524|usa|30
292|254533|canada|50
293|254534|canada|40
294|254535|switzerland|35
295|254536|germany|25
296|254537|poland|20
297|254538|usa|30
298|254539|australia|25
299|254541|france|40
300|254542|usa|25
301|254543|usa|55
302|254544|usa|60
303|254545|mexico|35
304|254548|germany|25
305|254549|germany|20
306|254551|nigeria|25
307|254553|usa|25
308|254555|usa|45
309|254556|spain|20
310|254559|germany|20
311|254563|germany|20
312|254565|germany|40
313|254566|usa|25
314|254570|denmark|20
315|254572|austria|25
316|254573|germany|30
317|254574|germany|15
318|254577|usa|45
319|254578|germany|35
320|254580|germany|40
321|254581|usa|30
322|254583|canada|55
323|254584|usa|45
324|254585|germany|30
325|254587|switzerland|20
326|254588|united kingdom|20
327|254590|germany|25
328|254591|germany|55
329|254592|spain|25
330|254594|australia|25
331|254596|germany|35
332|254598|usa|40
333|254600|germany|20
334|254601|spain|15
335|254602|usa|45
336|254604|australia|20
337|254608|usa|20
338|254610|usa|30
339|254611|united kingdom|55
340|254617|canada|60
341|254618|usa|30
342|254620|usa|35
343|254621|usa|60
344|254624|australia|65
345|254625|usa|40
346|254626|usa|40
347|254627|united kingdom|60
348|254628|usa|65
349|254629|australia|50
350|254632|australia|55
351|254633|canada|55
352|254637|usa|35
353|254639|italy|20
354|254640|spain|30
355|254641|germany|20
356|254642|spain|15
357|254643|australia|25
358|254644|austria|20
359|254645|usa|45
360|254646|chile|65
361|254648|france|30
