"label";"Reader";"cluster";"average(Rating_Score)"
1;3;"cluster_1";10.0
1;30;"cluster_1";10.0
1;48;"cluster_1";10.0
1;67;"cluster_1";9.0
1;81;"cluster_1";6.0
1;89;"cluster_1";7.0
1;107;"cluster_1";8.6
1;109;"cluster_1";9.5
1;113;"cluster_1";5.0
1;146;"cluster_1";6.0
1;153;"cluster_1";8.0
1;160;"cluster_1";8.0
1;205;"cluster_1";9.0
1;226;"cluster_1";10.0
1;260;"cluster_1";9.285714285714286
1;261;"cluster_1";8.0
1;291;"cluster_1";8.0
1;381;"cluster_1";8.0
1;398;"cluster_1";6.0
1;426;"cluster_1";7.5
1;502;"cluster_1";9.333333333333334
1;543;"cluster_1";10.0
1;556;"cluster_1";8.0
1;607;"cluster_1";7.666666666666667
1;654;"cluster_1";7.0
1;690;"cluster_1";10.0
1;731;"cluster_1";8.0
1;765;"cluster_1";8.0
1;845;"cluster_1";9.0
1;902;"cluster_1";9.0
1;924;"cluster_1";3.0
1;933;"cluster_1";9.5
1;940;"cluster_1";10.0
1;963;"cluster_1";5.0
1;1018;"cluster_1";9.0
1;1083;"cluster_1";9.0
1;1118;"cluster_1";8.0
1;1167;"cluster_1";7.0
1;1217;"cluster_1";10.0
1;1246;"cluster_1";10.0
1;1284;"cluster_1";6.5
1;1331;"cluster_1";8.0
1;1382;"cluster_1";9.666666666666666
1;1421;"cluster_1";9.0
1;1451;"cluster_1";7.0
1;1469;"cluster_1";7.0
1;1484;"cluster_1";8.0
1;1501;"cluster_1";7.6
1;1589;"cluster_1";9.0
1;1622;"cluster_1";6.5
1;1678;"cluster_1";7.0
1;1690;"cluster_1";8.0
1;1716;"cluster_1";9.0
1;1730;"cluster_1";3.0
1;1731;"cluster_1";8.25
1;1778;"cluster_1";8.0
1;1797;"cluster_1";8.0
1;1818;"cluster_1";7.5
1;1831;"cluster_1";10.0
1;1852;"cluster_1";7.0
1;1875;"cluster_1";7.0
1;1896;"cluster_1";10.0
1;1905;"cluster_1";8.0
1;1914;"cluster_1";9.5
1;1938;"cluster_1";10.0
1;1942;"cluster_1";9.0
1;1955;"cluster_1";5.0
1;1961;"cluster_1";9.0
1;1991;"cluster_1";9.0
1;2014;"cluster_1";9.0
1;2018;"cluster_1";8.0
1;2021;"cluster_1";10.0
1;2036;"cluster_1";10.0
1;2097;"cluster_1";5.0
1;2108;"cluster_1";8.333333333333334
1;2111;"cluster_1";9.0
